,index,decoder,test_context,train_context,on_off,fold,mse,date
0,0,tcfnn,Normal,Mixed,mix,0,0.18478987054932244,2022-05-31
1,1,rr,Normal,Mixed,mix,0,0.2669679331645473,2022-05-31
2,2,tcfnn,Normal,Mixed_Full,mix,0,0.18152875403836793,2022-05-31
3,3,rr,Normal,Mixed_Full,mix,0,0.2545433313151492,2022-05-31
4,4,tcfnn,Normal,Normal,on,0,0.18564875557695848,2022-05-31
5,5,rr,Normal,Normal,on,0,0.2565648743812464,2022-05-31
6,6,tcfnn,Normal,Wrist,off,0,0.23732069149921242,2022-05-31
7,7,rr,Normal,Wrist,off,0,0.3043991210466343,2022-05-31
8,8,tcfnn,Normal,SprWrst,off,0,0.2205128539020192,2022-05-31
9,9,rr,Normal,SprWrst,off,0,0.29611100563765896,2022-05-31
10,10,tcfnn,Normal,Spring,off,0,0.1864177326820956,2022-05-31
11,11,rr,Normal,Spring,off,0,0.2666521672657497,2022-05-31
12,12,tcfnn,Spring,Mixed,mix,0,0.2615062339528557,2022-05-31
13,13,rr,Spring,Mixed,mix,0,0.3444348759180424,2022-05-31
14,14,tcfnn,Spring,Mixed_Full,mix,0,0.26061140243421915,2022-05-31
15,15,rr,Spring,Mixed_Full,mix,0,0.3354591534026087,2022-05-31
16,16,tcfnn,Spring,Normal,off,0,0.2581950353108688,2022-05-31
17,17,rr,Spring,Normal,off,0,0.3476118952059901,2022-05-31
18,18,tcfnn,Spring,Wrist,off,0,0.3541304646161283,2022-05-31
19,19,rr,Spring,Wrist,off,0,0.3938827369393318,2022-05-31
20,20,tcfnn,Spring,SprWrst,off,0,0.2803364496474079,2022-05-31
21,21,rr,Spring,SprWrst,off,0,0.3692589593270875,2022-05-31
22,22,tcfnn,Spring,Spring,on,0,0.22166747839725545,2022-05-31
23,23,rr,Spring,Spring,on,0,0.33488666390624844,2022-05-31
24,24,tcfnn,Wrist,Mixed,mix,0,0.26841533249791427,2022-05-31
25,25,rr,Wrist,Mixed,mix,0,0.35675958054794565,2022-05-31
26,26,tcfnn,Wrist,Mixed_Full,mix,0,0.26712465384436357,2022-05-31
27,27,rr,Wrist,Mixed_Full,mix,0,0.3473795158385377,2022-05-31
28,28,tcfnn,Wrist,Normal,off,0,0.3192676912574822,2022-05-31
29,29,rr,Wrist,Normal,off,0,0.3814417665747684,2022-05-31
30,30,tcfnn,Wrist,Wrist,on,0,0.2760906904638113,2022-05-31
31,31,rr,Wrist,Wrist,on,0,0.34498248421269206,2022-05-31
32,32,tcfnn,Wrist,SprWrst,off,0,0.32455579148543,2022-05-31
33,33,rr,Wrist,SprWrst,off,0,0.40265596482084615,2022-05-31
34,34,tcfnn,Wrist,Spring,off,0,0.3254534629488203,2022-05-31
35,35,rr,Wrist,Spring,off,0,0.3899851395708733,2022-05-31
36,36,tcfnn,SprWrst,Mixed,mix,0,0.27063412445171864,2022-05-31
37,37,rr,SprWrst,Mixed,mix,0,0.35390703602531065,2022-05-31
38,38,tcfnn,SprWrst,Mixed_Full,mix,0,0.26538851725510465,2022-05-31
39,39,rr,SprWrst,Mixed_Full,mix,0,0.3469765241258919,2022-05-31
40,40,tcfnn,SprWrst,Normal,off,0,0.30583258704834765,2022-05-31
41,41,rr,SprWrst,Normal,off,0,0.3720751828332363,2022-05-31
42,42,tcfnn,SprWrst,Wrist,off,0,0.38189637015433425,2022-05-31
43,43,rr,SprWrst,Wrist,off,0,0.4202801436035871,2022-05-31
44,44,tcfnn,SprWrst,SprWrst,on,0,0.24985186161517314,2022-05-31
45,45,rr,SprWrst,SprWrst,on,0,0.3391177530263977,2022-05-31
46,46,tcfnn,SprWrst,Spring,off,0,0.27449554997526593,2022-05-31
47,47,rr,SprWrst,Spring,off,0,0.3647484320382942,2022-05-31
48,48,tcfnn,Normal,Mixed,mix,1,0.1798474670600023,2022-05-31
49,49,rr,Normal,Mixed,mix,1,0.26728861517000835,2022-05-31
50,50,tcfnn,Normal,Mixed_Full,mix,1,0.17178389480965484,2022-05-31
51,51,rr,Normal,Mixed_Full,mix,1,0.255018483159771,2022-05-31
52,52,tcfnn,Normal,Normal,on,1,0.18007092923560553,2022-05-31
53,53,rr,Normal,Normal,on,1,0.2569960531761478,2022-05-31
54,54,tcfnn,Normal,Wrist,off,1,0.23813818915189444,2022-05-31
55,55,rr,Normal,Wrist,off,1,0.3042234925954468,2022-05-31
56,56,tcfnn,Normal,SprWrst,off,1,0.2427300508107986,2022-05-31
57,57,rr,Normal,SprWrst,off,1,0.29643544167802954,2022-05-31
58,58,tcfnn,Normal,Spring,off,1,0.20427695124205744,2022-05-31
59,59,rr,Normal,Spring,off,1,0.26772509936810995,2022-05-31
60,60,tcfnn,Spring,Mixed,mix,1,0.23849751122109283,2022-05-31
61,61,rr,Spring,Mixed,mix,1,0.345652022738643,2022-05-31
62,62,tcfnn,Spring,Mixed_Full,mix,1,0.24523000572235581,2022-05-31
63,63,rr,Spring,Mixed_Full,mix,1,0.3358704613818113,2022-05-31
64,64,tcfnn,Spring,Normal,off,1,0.25206733601646736,2022-05-31
65,65,rr,Spring,Normal,off,1,0.34934401095634837,2022-05-31
66,66,tcfnn,Spring,Wrist,off,1,0.3617102904282307,2022-05-31
67,67,rr,Spring,Wrist,off,1,0.396106980800489,2022-05-31
68,68,tcfnn,Spring,SprWrst,off,1,0.27226921966115797,2022-05-31
69,69,rr,Spring,SprWrst,off,1,0.36868713182708585,2022-05-31
70,70,tcfnn,Spring,Spring,on,1,0.22426161631098449,2022-05-31
71,71,rr,Spring,Spring,on,1,0.33480030073148714,2022-05-31
72,72,tcfnn,Wrist,Mixed,mix,1,0.2660262046484262,2022-05-31
73,73,rr,Wrist,Mixed,mix,1,0.3583889024495912,2022-05-31
74,74,tcfnn,Wrist,Mixed_Full,mix,1,0.253929035772917,2022-05-31
75,75,rr,Wrist,Mixed_Full,mix,1,0.3473154142906566,2022-05-31
76,76,tcfnn,Wrist,Normal,off,1,0.3007642072114928,2022-05-31
77,77,rr,Wrist,Normal,off,1,0.38646021130610514,2022-05-31
78,78,tcfnn,Wrist,Wrist,on,1,0.2721315684010211,2022-05-31
79,79,rr,Wrist,Wrist,on,1,0.34390780713898317,2022-05-31
