,,TT,TT,TT,TT,OT,OT,OT,OT,OR,OR,OR
,,mean,std,count,HC diff,mean,std,count,HC diff,rate,HC diff,count
date,Decoder,,,,,,,,,,,
2020-09-12,HC,569.6553524804177,244.78351642293111,383,0.0,392.5687022900763,446.3568760298786,262,0.0,0.6616161616161617,0.0,396
2020-09-12,RK,1354.5871313672922,737.2734870268035,373,1.377906440217038,1562.7253886010362,1106.9947597681505,193,2.9807691736115767,0.5052356020942408,-0.23636145637664374,382
2020-09-12,RN,738.512585812357,399.0761957918012,437,0.2964199890279164,1172.8370370370371,935.0172986683356,270,1.9875968975499376,0.5986696230598669,-0.09514056972630806,451
2020-09-19,HC,609.5380577427821,293.65778820612337,381,0.0,289.2,360.0491566651851,210,0.0,0.5329949238578681,0.0,394
2020-09-19,RK,1298.414364640884,702.0947680216611,362,1.1301612723725933,1212.248120300752,835.2285516099594,133,3.191729323308271,0.3575268817204301,-0.3292114695340502,372
2020-09-19,RN,842.5819327731092,391.1827135472006,476,0.38232867016265754,787.3697916666666,512.4877561800978,192,1.7225788093591516,0.39263803680981596,-0.2633362547472977,489
2021-07-31,HC,509.8567708333333,182.64805234256463,384,0.0,318.85022026431716,399.85756815633516,227,0.0,0.5717884130982368,0.0,397
2021-07-31,RK,864.2586666666666,330.0858659530283,375,0.6951008912838061,857.0,580.8215761287655,183,1.6877823678138688,0.4753246753246753,-0.16870530350706567,385
2021-07-31,RN,742.1942257217847,317.4842790442612,381,0.4556916141541249,663.5248618784531,457.53199729103073,181,1.0809923271447361,0.46649484536082475,-0.18414778146146513,388
